,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"淡路県民局管内
",,,,,,,,,,,,,,,,,
,,"施設名
","所在地
","電話番号
","設置者
","受入時間
",,"休日
保育
","時間
預か
 り
","乳児
の
受入
","定員
","職　員　数
",,,,"認可外保育施設
 指導監督基準
  適合状況
",
,,,,,,"開始
","終了
",,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","    特定認可外
勤   保育施設
"," 国証明
(交付日）
"
,"10
","エメラルド保育園
","〒656-2156
淡路市大町下53-3
"," (0799)
62-7580
","医療法人社団順心会
順心淡路病院
","8:00
","翌朝
8:00
","有
","有
","有
","なし
","4
","2
","0
","0
",,
,"11
","東浦平成病院託児所
","〒656-2311
淡路市久留麻1867
"," (0799)
74-0503
","医療法人社団淡路平成
会
東浦平成病院
","7:30
","19:30
","有
","有
","有
","25
","4
","3
","0
","1
",,
,"12
","ウェスティンキッズクラブ
","〒656-2306
淡路市夢舞台2
"," (0799)
74-1152
","（株）夢舞台
ウェスティンホテル淡路
","9:00
","20:00
","有
","有
","有
","なし
","1
","1
","0
","0
",,
,"13
","ホテルニューアワジ
保育所
","〒656-0023
洲本市小路谷10-1
13-205
"," (0799)
23-2200
","(株)ホテルニューアワジ
","6:00
","23:00
","有
","有
","無
","12
","2
","1
","0
","1
",,
