,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"阪神南県民センター管内

              平成２８年４月１日現在
",,,,,,,,,,,,,,,,,
,"施設名
"," 所在地
","電話番号
","設置者
","受入時間
",,"時間
外の
有無
","休日
保育
","時間
預か
り
","乳児
の
受入
","定員
","職員数
",,,,"認可外保育施設指導監督
  基準適合状況
",
,,,,,"開始
","終了
",,,,,,"保育士
",,"保育補助者
",,,
,,,,,,,,,,,,"常勤
","非常勤
","常勤
","非常勤
","特定認可外
保育施設
"," 国証明
(交付日）
"
"1
","夢希望
チャイルドパーク
あしやえん
","〒659-0083
芦屋市西山町13-3
芦屋ビル1F,2F
","(0797)
25-4150
","(株)夢希望
チャイルドパーク
あしやえん
","7:30
","18:00
","○
","無
","有
","有
","68
","5
","1
","3
","2
",,"   ○

（Ｈ22.9.29）
"
"2
","芦屋キッズアカデミー
","〒659-0093
芦屋市船戸町12-12
","(0797)
23-3300
","北村　紘子
","8:00
","17:30
","○
","無
","有
","有
","25
","2
","4
","1
","2
",,
"3
","アシヤキンダーハウス
","〒659-0082
芦屋市山芦屋町24-13
","(0797)
31-6172
","佃　里美
","9:00
","17:00
","○
","有
","有
","無
","30
","1
","2
","2
","0
","○
","   ○

（Ｈ24.7.23）
"
"4
","幼児教室ももたろう
","〒659-0072
芦屋市川西町4-22-201
","(0797)
32-7579
","大西　章子
","9:30
","14:00
","○
","無
","無
","無
","76
","5
","4
","3
","1
",,
"5
","キンダーキッズ
インターナショナル
スクール芦屋校
","〒659-00１5
芦屋市楠町１１－２４
","（0797）
25-7977
","（株）キンダーキッズ
","7:45
","18:15
","○
","無
","無
","無
","115
","5
","1
","10
","1
",,"   ○

（Ｈ21.8.19）
"
"6
","あおぞら幼児教室
","〒659-0071
芦屋市前田町3-6
","（0797）
32-2588
","（有）ユリスコ
","9:40
","14:00
","○
","無
","無
","無
","26
","4
","0
","2
","0
",,
"7
","キッズランド　きらきら
","〒659-0022
芦屋市打出町1-6 2F
","(0797)
23-4150
","着能　敬子
","9:00
","18:00
","○
","無
","有
","無
","18
","2
","1
","0
","4
",,"   ○

（Ｈ24.5.9）
"
"8
","芦屋キンダーガルデン
STEPS
","〒659-0094
芦屋市松ノ内町１－１０
","(0797)
38-8986
","（株）ダンスオブハー
ツエデュケーション
","10:00
","16:00
","○
","無
","無
","無
","57
","4
","0
","1
","0
",,
"9
","エムアイピーシオアシヤ
","〒659-0034
芦屋市陽光町４－１
","(0797)
35-5011
","NPO法人MICC
","9:00
","17:00
",,"無
","有
","無
","46
","1
","0
","3
","2
",,"    ○

（Ｈ23.10.31）
"
"10
","モンテッソーリ幼児教室
「芦屋こどもの家」
","〒659-0051
芦屋市呉川町２－５
","(0797)
31-2093
","宗教法人芦屋福音教
会
","9:00
","14:00
",,"無
","無
","無
","21
","0
","1
","0
","2
",,"   ○

（Ｈ28.3.29）
"
"11
","ぴーすらんど
","〒659-0065
芦屋市公光町７－１２
","(0797)
23-5243
","（有）バジック
","9:00
","18:00
","○
","有
","有
","有
","10
","0
","2
","1
","0
",,
,,,,,,,,,,,,,,,,,
"12
","ＪＲ芦屋キッズルーム
","〒659-0093
芦屋市船戸町１－３２
","（0797）
26-7887
","(株)ジェイアール
西日本交通サービス
","7:30
","20:00
",,"有
","有
","有
","40
","5
","1
","1
","1
",,"   ○

（Ｈ24.3.22）
"
