,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"                つばさほいくえん

【所在地】           〒652-0046　兵庫区上沢通1-1-8 グランデール丸文3Ｆ

【設置者・設置主体】      (有)つばさ                             有限会社

【管理者】           浅沼　智代子

【事業開始年月日】       平成13年11月1日

【届出年月日】         平成15年2月27日

【電話・FAX番号】      (電話）    579-8338           （FAX)   579-8668

【定員・受入時間】       30      人     0:00-24:00

【提供するサービス内容等】
   （休日保育）       有
   （時間預）        有　(生後８ヶ月～５歳児)
   （乳児受入）       有

【保険加入状況】        有

【建物の構造】
   （構造）         鉄筋コンクリート造
   （階）          ８階建の３階

【保育室等の面積・㎡】
   （乳児・ほふく室）    6.00
   （保育・遊戯室）     72.80
   （屋外遊戯室）      ー


【証明書の交付日】       平成17年3月31日

【指導事項】          立入調査日              平成28年8月20日
",,,,
,,,,
,"項目
","立入調査時の改善指導事項
","区分
","改善確認年月日
"
,"保育従事者数・資格
","ー
",,
,"構造設備・面積
","ー
",,
,"非常災害に対する措置
","ー
",,
,"保育室を２階以上に設ける場合
の条件
","ー
",,
,"保育内容
","ー
",,
,"給食
","ー
",,
,"健康管理・安全確保
","ー
",,
,"利用者への情報提供
","ー
",,
,"備える帳簿
","ー
",,
