,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"                保
【所在地】           〒

【設置者・設置主体】      医

【管理者】           田

【事業開始年月日】       平

【届出年月日】         平

【電話・FAX番号】      (電

【定員・受入時間】       4

【提供するサービス内容等】
   （休日保育）       有
   （時間預）        有
   （乳児受入）       無

【保険加入状況】        有

【建物の構造】
   （構造）         鉄
   （階）          地

【保育室等の面積・㎡】
   （乳児・ほふく室）    ー
   （保育・遊戯室）     1
   （屋外遊戯室）      ー

【証明書の交付日】       平

【指導事項】          立
",,,"保育施設ちから
〒651-1304　北区大沢町中大沢字向井新田2238-3 らぽーと内

医療法人社団青山会                           医療法人

田場　惠子

平成21年5月16日

平成23年2月2日

電話）      950-7070           （FAX)   954-0778

40       人     8:40-17:40


有
有　(満１歳～１２歳)
無

有


鉄骨造
地下２階付３階建の地下２階


ー
151.90
ー

平成23年3月31日

立入調査日               平成28年8月9日
",,
,,,,,
,"項目
","立入調査時の改善指導事項
",,"区分
","改善確認年月日
"
,"保育従事者数・資格
","ー
",,,
,"構造設備・面積
","ー
",,,
,"非常災害に対する措置
","ー
",,,
,"保育室を２階以上に設ける場合
の条件
","ー
",,,
,"保育内容
","ー
",,,
,"給食
","ー
",,,
,"健康管理・安全確保
","ー
",,,
,"利用者への情報提供
","ー
",,,
,"備える帳簿
","ー
",,,
