,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"                ドキドキキッズ保育ルーム

【所在地】           〒654-0071　須磨区須磨寺町4-3-28

【設置者・設置主体】      人見　俊子                              個人

【管理者】           人見　俊子

【事業開始年月日】       平成20年11月5日

【届出年月日】         平成20年12月3日

【電話・FAX番号】      (電話）    736-5018           （FAX)   735-6584

【定員・受入時間】       20      人     7:00-21:00

【提供するサービス内容等】
   （休日保育）       無
   （時間預）        有　(生後２ヶ月～５歳児)
   （乳児受入）       有

【保険加入状況】        有

【建物の構造】
   （構造）         木造
   （階）          ２階建の１階

【保育室等の面積・㎡】
   （乳児・ほふく室）    12.42
   （保育・遊戯室）     20.86
   （屋外遊戯室）      ー


【証明書の交付日】       平成21年4月21日

【指導事項】          立入調査日              平成27年9月11日
",,,,
,,,,
,"項目
","立入調査時の改善指導事項
","区分
","改善確認年月日
"
,"保育従事者数・資格
","ー
",,
,"構造設備・面積
","ー
",,
,"非常災害に対する措置
","ー
",,
,"保育室を２階以上に設ける場合
の条件
","ー
",,
,"保育内容
","ー
",,
,"給食
","ー
",,
,"健康管理・安全確保
","ー
",,
,"利用者への情報提供
","ー
",,
,"備える帳簿
","ー
",,
